$X_0$,$Y_0$,$X_{inf}$,$Y_{inf}$,$f(x)$,Iterations
3,0,2,-3.805e-22,0,3
2,-2,2,5.8753e-13,8.6084e-26,1
0,-2,2,1.2317e-16,4.9304e-30,17
0,0,2,7.3726e-18,0,15
