$X_0$,$Y_0$,$X_{inf}$,$Y_{inf}$,$dX$,$dY$,$f(x)$,Iterations
3,0,2,-1.3368e-05,6.6915e-06,1.3368e-05,4.4798e-11,18
2,-2,2,8.2421e-06,-4.0876e-06,-8.2421e-06,1.7156e-11,23
0,-2,2,-6.0685e-06,3.1721e-06,6.0685e-06,1.7661e-11,23
0,0,2,-8.6504e-06,4.3291e-06,8.6504e-06,1.8748e-11,29
