$X_0$,$Y_0$,$X_{inf}$,$Y_{inf}$,$dX$,$dY$,$f(x)$,Iterations
3,0,2,7.0148e-09,-3.5715e-09,-7.0148e-09,1.4396e-17,17
2,-2,2,1.4269e-08,-7.1347e-09,-1.4269e-08,5.0904e-17,1
0,-2,2,-2.9846e-09,1.4665e-09,2.9846e-09,2.4168e-18,25
0,0,2,-1.9947e-07,9.4316e-08,1.9947e-07,2.0632e-14,26
