$X_0$,$Y_0$,$X_{inf}$,$Y_{inf}$,$dX$,$dY$,$f(x)$,Iterations
3,0,2.0889,0.18621,-0.088944,-0.18621,0.007928,84
2,-2,1.7133,-0.49487,0.28672,0.49487,0.083531,96
0,-2,1.7133,-0.49487,0.28672,0.49487,0.083531,96
0,0,2.0045,0.0090127,-0.0044829,-0.0090127,2.0168e-05,83
